Layer ID,Batch Number,Token,Activated Expert IDs
1,0,<｜begin▁of▁sentence｜>,"[8, 26, 56, 57, 60, 43]"
1,0,Fix,"[8, 17, 32, 54, 56, 18]"
1,0,Ġgrammar,"[8, 17, 31, 32, 39, 7]"
1,0,Ġand,"[8, 24, 26, 43, 51, 42]"
1,0,Ġtell,"[8, 32, 48, 58, 63, 5]"
1,0,Ġme,"[7, 8, 46, 49, 62, 29]"
1,0,Ġwhat,"[8, 11, 27, 43, 63, 29]"
1,0,Ġyou,"[3, 8, 53, 55, 62, 26]"
1,0,Ġchanged,"[8, 23, 32, 37, 56, 54]"
1,0,Ċ,"[4, 8, 31, 50, 57, 14]"
1,0,```,"[25, 55, 56, 60, 62, 13]"
1,0,Ċ,"[31, 38, 50, 56, 57, 11]"
1,0,Hey,"[5, 7, 22, 46, 55, 26]"
1,0,Ġthere,"[8, 26, 35, 43, 56, 11]"
1,0,",","[4, 26, 43, 51, 56, 23]"
1,0,Ċ,"[31, 38, 50, 52, 57, 34]"
1,0,Ġ,"[0, 13, 27, 34, 56, 11]"
1,0,Ċ,"[11, 31, 47, 50, 57, 38]"
1,0,Ready,"[10, 23, 32, 58, 63, 33]"
1,0,Ġfor,"[8, 10, 24, 29, 52, 49]"
1,0,Ġyour,"[6, 8, 21, 55, 62, 43]"
1,0,ĠPR,"[2, 30, 44, 45, 46, 40]"
1,0,Ġattempt,"[2, 32, 54, 56, 63, 17]"
1,0,?,"[4, 25, 55, 60, 62, 43]"
1,0,ĠLet,"[8, 42, 43, 46, 63, 35]"
1,0,âĢĻ,"[4, 25, 55, 60, 62, 49]"
1,0,s,"[0, 16, 38, 49, 61, 6]"
1,0,Ġgo,"[5, 17, 27, 37, 45, 26]"
1,0,!,"[4, 25, 28, 55, 60, 24]"
1,0,Ċ,"[11, 31, 36, 50, 57, 14]"
1,0,Ġ,"[0, 13, 27, 34, 57, 56]"
1,0,Ċ,"[31, 34, 47, 50, 57, 11]"
1,0,I,"[5, 22, 26, 46, 62, 7]"
1,0,Ġhope,"[11, 19, 56, 58, 63, 8]"
1,0,Ġthis,"[21, 41, 48, 49, 62, 8]"
1,0,Ġfinds,"[23, 32, 37, 47, 48, 54]"
1,0,Ġyou,"[3, 20, 29, 55, 62, 53]"
1,0,Ġwell,"[16, 22, 33, 42, 56, 17]"
1,0,-,"[29, 34, 52, 57, 60, 44]"
1,0,rested,"[14, 15, 18, 19, 54, 23]"
1,0,Ġand,"[8, 17, 24, 51, 58, 26]"
1,0,Ġready,"[10, 23, 37, 54, 63, 8]"
1,0,Ġto,"[24, 29, 35, 49, 53, 8]"
1,0,Ġgo,"[5, 27, 37, 41, 45, 28]"
1,0,.,"[4, 11, 14, 51, 57, 7]"
1,0,ĠThis,"[0, 41, 46, 48, 62, 11]"
1,0,Ġweekend,"[7, 19, 36, 40, 47, 33]"
1,0,Ġis,"[5, 20, 26, 27, 38, 12]"
1,0,Ġall,"[9, 21, 22, 27, 38, 26]"
1,0,Ġabout,"[29, 48, 52, 55, 56, 22]"
1,0,Ġyour,"[17, 21, 35, 55, 62, 59]"
1,0,ĠPR,"[2, 30, 40, 44, 46, 45]"
1,0,Ġattempt,"[2, 18, 32, 54, 63, 10]"
1,0,",","[4, 14, 41, 51, 58, 44]"
1,0,Ġif,"[5, 26, 30, 42, 43, 41]"
1,0,Ġyou,"[6, 7, 15, 55, 62, 48]"
1,0,Ġhaven,"[23, 26, 27, 56, 63, 37]"
1,0,âĢĻ,"[4, 25, 55, 60, 62, 13]"
1,0,t,"[5, 16, 28, 38, 53, 41]"
1,0,Ġalready,"[23, 37, 38, 42, 63, 7]"
1,0,Ġdone,"[10, 23, 37, 41, 63, 59]"
1,0,Ġit,"[6, 29, 49, 55, 62, 30]"
1,0,.,"[4, 11, 30, 51, 57, 7]"
1,0,Ċ,"[4, 11, 31, 50, 57, 3]"
1,0,Ġ,"[0, 13, 27, 56, 57, 34]"
1,0,Ċ,"[30, 31, 47, 50, 57, 11]"
1,0,We,"[5, 25, 43, 46, 62, 22]"
1,0,',"[25, 55, 56, 60, 62, 26]"
1,0,ve,"[22, 23, 38, 56, 63, 16]"
1,0,Ġhad,"[5, 23, 29, 56, 63, 27]"
1,0,Ġmore,"[0, 6, 7, 9, 38, 26]"
1,0,Ġthan,"[9, 24, 29, 42, 45, 26]"
1,0,Ġa,"[6, 15, 20, 21, 26, 52]"
1,0,Ġfew,"[0, 9, 27, 36, 47, 6]"
1,0,Ġpeople,"[15, 33, 39, 40, 61, 17]"
1,0,Ġposting,"[18, 32, 37, 41, 54, 7]"
1,0,Ġsome,"[0, 21, 26, 49, 50, 8]"
1,0,Ġreally,"[0, 21, 22, 42, 63, 33]"
1,0,Ġgreat,"[0, 10, 29, 33, 63, 38]"
1,0,Ġresults,"[2, 18, 36, 39, 61, 10]"
1,0,Ġand,"[7, 24, 30, 51, 58, 12]"
1,0,Ġthe,"[6, 8, 12, 21, 52, 26]"
1,0,Ġimprovements,"[10, 32, 47, 54, 61, 3]"
1,0,Ġhave,"[5, 23, 38, 50, 63, 53]"
1,0,Ġbeen,"[0, 23, 27, 38, 42, 5]"
1,0,Ġsignificant,"[0, 10, 14, 32, 54, 33]"
1,0,!,"[4, 25, 55, 57, 60, 41]"
1,0,Ċ,"[11, 31, 50, 57, 58, 36]"
1,0,Ġ,"[0, 13, 27, 56, 57, 34]"
1,0,Ċ,"[20, 31, 47, 50, 57, 30]"
1,0,Rem,"[24, 30, 44, 46, 48, 17]"
1,0,inder,"[11, 23, 29, 32, 54, 7]"
1,0,:,"[20, 25, 52, 55, 57, 11]"
