Layer ID,Batch Number,Token,Activated Expert IDs
1,0,<｜begin▁of▁sentence｜>,"[8, 26, 56, 57, 60, 43]"
1,0,What,"[8, 22, 43, 46, 63, 17]"
1,0,Ġif,"[8, 42, 43, 53, 56, 5]"
1,0,Ġit,"[6, 8, 15, 55, 62, 34]"
1,0,Ġis,"[0, 5, 8, 27, 38, 26]"
1,0,Ġnot,"[5, 8, 38, 42, 53, 24]"
1,0,Ġa,"[6, 8, 21, 26, 29, 52]"
1,0,Ġbinary,"[2, 8, 21, 24, 41, 1]"
1,0,Ġtree,"[2, 17, 32, 33, 59, 8]"
1,0,?,"[4, 8, 25, 43, 56, 62]"
2,0,<｜begin▁of▁sentence｜>,"[3, 35, 38, 62, 63, 60]"
2,0,What,"[14, 42, 60, 61, 63, 35]"
2,0,Ġif,"[7, 24, 34, 49, 61, 16]"
2,0,Ġit,"[3, 7, 12, 18, 20, 52]"
2,0,Ġis,"[7, 12, 37, 50, 56, 18]"
2,0,Ġnot,"[5, 7, 14, 16, 56, 34]"
2,0,Ġa,"[17, 24, 35, 49, 62, 55]"
2,0,Ġbinary,"[17, 18, 27, 43, 45, 30]"
2,0,Ġtree,"[2, 30, 40, 43, 45, 6]"
2,0,?,"[0, 8, 19, 46, 47, 15]"
3,0,<｜begin▁of▁sentence｜>,"[4, 9, 11, 25, 54, 12]"
3,0,What,"[0, 4, 14, 48, 58, 7]"
3,0,Ġif,"[2, 4, 16, 44, 58, 7]"
3,0,Ġit,"[2, 4, 6, 44, 49, 54]"
3,0,Ġis,"[2, 6, 19, 30, 63, 4]"
3,0,Ġnot,"[2, 19, 30, 52, 53, 63]"
3,0,Ġa,"[2, 6, 19, 35, 53, 33]"
3,0,Ġbinary,"[3, 20, 24, 35, 49, 21]"
3,0,Ġtree,"[20, 24, 32, 36, 57, 29]"
3,0,?,"[9, 22, 45, 55, 60, 1]"
4,0,<｜begin▁of▁sentence｜>,"[11, 21, 31, 33, 49, 14]"
4,0,What,"[9, 29, 34, 38, 60, 30]"
